,Time,Tibialis antelior,Gastrocnemius medialis
761,2.659,-0.097,-0.066
762,2.66,-0.013,-0.024
763,2.661,0.057,0.016
764,2.662,0.056,0.018
765,2.663,0.031,0.013
766,2.664,0.003,0.018
767,2.665,-0.062,0.009
768,2.666,-0.074,0.014
769,2.667,-0.078,0.012
770,2.668,-0.052,0.014
771,2.669,-0.044,0.012
772,2.67,-0.024,0.012
773,2.671,-0.022,0.008
774,2.672,-0.016,0.007
775,2.673,0.063,0.004
776,2.674,0.16,-0.001
777,2.675,0.189,0.003
778,2.676,0.125,0.0
779,2.677,0.096,-0.003
780,2.678,0.024,-0.036
781,2.679,-0.015,-0.061
782,2.68,-0.006,-0.019
783,2.681,0.001,0.023
784,2.682,-0.028,0.023
785,2.683,-0.059,0.018
786,2.684,-0.101,0.022
787,2.685,-0.103,0.018
788,2.686,0.003,0.022
789,2.687,-0.003,0.015
790,2.688,0.073,0.015
791,2.689,0.178,0.014
792,2.69,0.042,0.01
793,2.691,-0.05,0.007
794,2.692,-0.14,0.0
795,2.693,-0.118,-0.004
796,2.694,0.004,-0.007
797,2.695,0.032,-0.003
798,2.696,0.08,-0.004
799,2.697,0.159,-0.007
800,2.698,0.071,-0.043
801,2.699,-0.049,-0.068
802,2.7,0.016,-0.027
803,2.701,-0.029,0.014
804,2.702,-0.061,0.014
805,2.703,-0.062,0.009
806,2.704,-0.072,0.013
807,2.705,-0.063,0.005
808,2.706,-0.057,0.011
809,2.707,-0.01,0.01
810,2.708,0.026,0.013
811,2.709,0.046,0.012
812,2.71,0.068,0.015
813,2.711,0.086,0.015
814,2.712,0.103,0.009
815,2.713,0.078,0.006
816,2.714,0.009,0.0
817,2.715,-0.08,0.001
818,2.716,-0.124,-0.002
819,2.717,-0.102,-0.006
820,2.718,-0.183,-0.043
821,2.719,-0.201,-0.066
822,2.72,0.03,-0.024
823,2.721,0.161,0.016
824,2.722,0.1,0.019
825,2.723,0.127,0.016
826,2.724,0.133,0.023
827,2.725,0.026,0.012
828,2.726,-0.002,0.019
829,2.727,0.116,0.012
830,2.728,0.2,0.013
831,2.729,0.057,0.009
832,2.73,0.048,0.006
833,2.731,0.111,0.001
834,2.732,0.092,0.0
835,2.733,0.044,-0.002
836,2.734,0.054,-0.009
837,2.735,0.072,-0.005
838,2.736,-0.033,-0.008
839,2.737,-0.134,-0.006
840,2.738,-0.368,-0.037
841,2.739,-0.473,-0.054
842,2.74,-0.582,-0.009
843,2.741,-0.624,0.028
844,2.742,-0.393,0.025
845,2.743,-0.226,0.017
846,2.744,-0.066,0.017
847,2.745,0.009,0.008
848,2.746,0.11,0.01
849,2.747,0.367,0.006
850,2.748,0.423,0.011
851,2.749,0.274,0.009
852,2.75,0.114,0.008
853,2.751,0.153,0.008
854,2.752,0.213,0.002
855,2.753,0.168,-0.006
856,2.754,0.088,-0.012
857,2.755,0.148,-0.01
858,2.756,0.131,-0.008
859,2.757,0.088,-0.009
860,2.758,0.089,-0.044
861,2.759,0.111,-0.063
862,2.76,0.11,-0.018
863,2.761,0.019,0.022
864,2.762,-0.07,0.021
865,2.763,-0.21,0.018
866,2.764,-0.323,0.021
867,2.765,-0.439,0.01
868,2.766,-0.388,0.011
869,2.767,-0.187,0.012
870,2.768,0.054,0.015
871,2.769,0.023,0.014
872,2.77,-0.168,0.011
873,2.771,-0.542,0.011
874,2.772,-0.489,0.007
875,2.773,-0.228,0.0
876,2.774,0.146,-0.007
877,2.775,0.541,-0.003
878,2.776,0.476,-0.005
879,2.777,0.176,-0.011
880,2.778,0.108,-0.044
881,2.779,0.082,-0.065
882,2.78,0.25,-0.022
883,2.781,0.282,0.017
884,2.782,0.209,0.018
885,2.783,0.217,0.013
886,2.784,0.241,0.018
887,2.785,0.19,0.009
888,2.786,-0.049,0.012
889,2.787,-0.169,0.009
890,2.788,-0.289,0.009
891,2.789,-0.001,0.008
892,2.79,0.436,0.008
893,2.791,0.4,0.004
894,2.792,0.13,0.0
895,2.793,0.106,-0.001
896,2.794,0.05,-0.003
897,2.795,0.041,0.0
898,2.796,0.015,0.0
899,2.797,0.003,-0.005
900,2.798,-0.042,-0.041
901,2.799,-0.069,-0.064
902,2.8,-0.039,-0.02
903,3.64,0.302,-0.006
904,3.641,0.339,0.016
905,3.642,0.309,0.014
906,3.643,0.173,0.011
907,3.644,0.152,0.014
908,3.645,0.135,0.01
909,3.646,0.075,0.012
910,3.647,-0.007,0.01
911,3.648,-0.053,0.018
912,3.649,-0.082,0.016
913,3.65,-0.1,0.014
914,3.651,-0.041,0.01
915,3.652,0.074,0.007
916,3.653,0.161,0.001
917,3.654,0.07,0.003
918,3.655,0.023,0.004
919,3.656,-0.023,0.003
920,3.657,-0.027,-0.001
921,3.658,-0.106,-0.032
922,3.659,-0.139,-0.04
923,3.66,-0.061,-0.003
924,3.661,-0.035,0.023
925,3.662,-0.078,0.02
926,3.663,-0.062,0.018
927,3.664,0.05,0.018
928,3.665,0.064,0.012
929,3.666,0.036,0.014
930,3.667,-0.007,0.012
931,3.668,-0.079,0.017
932,3.669,-0.098,0.015
933,3.67,-0.072,0.014
934,3.671,-0.064,0.012
935,3.672,-0.052,0.008
936,3.673,-0.062,0.0
937,3.674,-0.056,-0.002
938,3.675,-0.04,0.0
939,3.676,-0.031,-0.001
940,3.677,-0.023,-0.007
941,3.678,-0.061,-0.04
942,3.679,-0.092,-0.048
943,3.68,-0.027,-0.007
944,3.681,0.027,0.017
